agent_name,agency_name,company,agent_type,offers_auto,offers_home,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
Eddie Moore,G E Moore Ins Agcy Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/leavenworth/eddie-moore-gk5511ys000,913-682-8185,,600 S 5th St,Leavenworth,KS,Leavenworth,66048,2026-08-24,statefarm.com/agent/us/ks/leavenworth locator page (fetched directly)
Megan Brown,Goosehead Insurance - Megan Brown,Independent / Multiple Carriers,Independent,Yes,Yes,,,,303 Cherokee St,Leavenworth,KS,Leavenworth,66048,2026-08-24,Foursquare listing; Goosehead Insurance's business model confirmed via goosehead.com as an independent multi-carrier brokerage selling personal auto and home policies
,Kansas Insurance - Tonganoxie,"Independent / Multiple Carriers (20+ including Allstate, Progressive, Nationwide, Travelers, MetLife, Hartford, Foremost, Safeco)",Independent,Yes,Yes,http://www.kansasins.com/,(913) 369-6600,,219 E Highway 24-40,Tonganoxie,KS,Leavenworth,66086,2026-08-24,"kansasins.com states the agency is independent and represents over 20 carriers, offering personal auto and homeowners insurance among other lines, with a Tonganoxie, KS branch office (agents Diane Bretthauer and Chris Vardiman named on site). Local address and phone confirmed via Google Places (listed there as ""Kansas Insurance, Tonganoxie"")."
Larry Gallagher,"Kevin Gallagher Agency, Inc. - American Family Insurance",American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/kansas-city/larry-gallagher,(913) 369-4444,,307 Ridge St #103,Tonganoxie,KS,Leavenworth,66086,2026-08-24,"Confirmed via official amfam.com agent page, which lists a Tonganoxie, KS location for this agency offering car and home insurance; city corrected from geocoded 'Basehor' hint to actual Tonganoxie per source street address and carrier page; exclusive American Family agent (captive)"
Marci Hunter,"Marci Hunter Agency, LLC",American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/basehor/marci-hunter,913-724-6400,,14500 Parallel Rd Ste E,Basehor,KS,Leavenworth,66007,2026-08-24,amfam.com/sitemap.xml -> agent profile page (fetched directly)
Robert Johnson,Robert Johnson Ins Agency Inc,Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/leavenworth/robert-johnson,913-651-4600,,744 Delaware St,Leavenworth,KS,Leavenworth,66048,2026-08-24,agents.farmers.com/ks/leavenworth/ locator page (fetched directly)
David Rafie,Shelter Insurance - David Rafie,Shelter Insurance,Captive,Yes,Yes,https://www.shelterinsurance.com/CA/agent/DRAFIE,(913) 250-5539,,501 Delaware St Ste. 8,Leavenworth,KS,Leavenworth,66048,2026-08-24,"Google Places API (Text Search 'Shelter Insurance agent in Leavenworth, KS' + Place Details); shelterinsurance.com agent page returned HTTP 403 (bot-blocked) on direct fetch"
Steve Skeet,Skeet Insurance,Independent / Multiple Carriers (incl. Progressive),Independent,Yes,Yes,,(913) 845-2255,,517 E 4th St,Tonganoxie,KS,Leavenworth,66086,2026-08-24,"Google Places API (Text Search 'farm mutual insurance Leavenworth County KS' + Place Details, business_status OPERATIONAL); progressiveagent.com/local-agent/kansas/tonganoxie/skeet-insurance/ confirms it as an independent agency selling Progressive Auto and Renters coverage ('independent agents...sell insurance from multiple companies'); Google review 'The best realtor and insurance agent in the area' and a linked Facebook page 'SkeetRealEstate' indicate it is a combo real-estate/insurance agency (same local business pattern as Evans Insurance/Evans Real Estate already in this county dataset), supporting personal home-lines coverage alongside confirmed auto; primary domain skeetinsurance.com is expired/parked so no owned website could be verified; agent first name 'Steve' confirmed via multiple Google reviews, surname not independently confirmed."
Ed Chapman,The Chapman Insurance Agency,Independent / Multiple Carriers,Independent,Yes,Yes,http://www.thechapmaninsuranceagency.com/,(913) 297-0300,,430 Walnut St,Leavenworth,KS,Leavenworth,66048,2026-08-24,"thechapmaninsuranceagency.com self-describes as ""a local, independent agency"" with a ""choice of providers""/partnerships with multiple insurance companies; site lists personal auto and homeowners coverage; owner/agent Ed Chapman named in client testimonials. Address/phone cross-checked against Google Places and Foursquare listings."
,"The Reilly Company, LLC",Independent / Multiple Carriers,Independent,Yes,Yes,http://www.reillyinsurance.com/,(913) 708-8700,,608 Delaware St,Leavenworth,KS,Leavenworth,66048,2026-08-24,"reillyinsurance.com self-describes as ""an independent insurance agency"" offering ""multiple options""; site lists both personal auto and home insurance; contact page confirms 608 Delaware St, Leavenworth, KS office with phone 913-708-8700 (current site phone; older Google Places/Foursquare listings show a legacy number, 913-682-1234, for the same address)."
,The Sumrall Group Co.: Allstate Insurance,Allstate,Captive,Yes,Yes,https://agents.allstate.com/the-sumrall-group-co-leavenworth-ks.html,(913) 682-7335,,1734 S 4th St,Leavenworth,KS,Leavenworth,66048,2026-08-24,"Google Places listing with official agents.allstate.com locator page confirming Allstate exclusive-agent office in Leavenworth, KS; captive model selling personal auto and home insurance"
Tiffany Andrews,Tiffany Andrews Ins Agcy,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/lansing/tiffany-andrews-wqtbq6zy4al,913-727-5388,,397 South First St,Lansing,KS,Leavenworth,66043,2026-08-24,statefarm.com/agent/us/ks/lansing locator page (fetched directly)
Trent Peter,Trenton Peter Agency LLC,American Family Insurance,Captive,Yes,Yes,https://www.amfam.com/agents/kansas/lansing/trenton-peter,913-727-1423,,612 N Main St,Lansing,KS,Leavenworth,66043,2026-08-24,amfam.com/sitemap.xml -> agent profile page (fetched directly)
