agent_name,agency_name,company,agent_type,offers_auto,offers_home,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
,"Kansas Insurance, Inc.","Independent / Multiple Carriers (20+ incl. Allstate, Chubb, Foremost, Hartford, MetLife, Nationwide, Progressive, Safeco, Travelers)",Independent,Yes,Yes,https://www.kansasins.com,(785) 331-3607,,3801 W 6th Street,Lawrence,KS,Douglas,66049,2026-08-24,"kansasins.com states it ""chooses from over 20 carriers,"" and lists car/auto and homeowners/renters coverage; address and phone cross-checked against BBB profile and Lawrence Chamber of Commerce member directory"
Kristi Keefer,KRK Insurance Agency,Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/lawrence/kristi-keefer/,785-843-7511,,"3300 Mesa Way, Ste C",Lawrence,KS,Douglas,66049,2026-08-24,Farmers Insurance agent locator (agents.farmers.com/ks/lawrence); agency name confirmed via agent page's linked Facebook page (facebook.com/KRKInsuranceAgency)
Kurt Goeser,Kurt J Goeser Ins Agency Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/lawrence/kurt-goeser-kx7ff1ys000,785-843-0003,,"1811 Wakarusa Drive, Ste 100",Lawrence,KS,Douglas,66047,2026-08-24,State Farm agent locator (statefarm.com/agent/us/ks/lawrence)
,Lawrence Insurance,Independent / Multiple Carriers,Independent,Yes,Yes,https://lawrence-insurance.com/,(785) 783-5545,,1219A E 23rd St,Lawrence,KS,Douglas,66046,2026-08-24,"Verified via agency website (lawrence-insurance.com) - confirms personal auto & home lines, self-described independent agency"
Kevin Morrissy,Lawrence Insurance Co (Allstate),Allstate,Captive,Yes,Yes,https://agents.allstate.com/kevin-morrissy-lawrence-ks-19786561.html,785-856-8708,,1225 E 23rd St,Lawrence,KS,Douglas,66046,2026-08-24,"Foursquare business listing for the agents.allstate.com agent profile (merged duplicate 'Lawrence Insurance Co' listing, same address/phone, same agency); direct verification blocked (agents.allstate.com returns HTTP 403 Cloudflare challenge to automated fetches, and this session's web search is exhausted)"
Lukas Stone,Lukas Stone - Farmers Insurance,Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/lawrence/lukas-stone/,785-856-0403,,"3300 Bob Billings Pkwy, Ste 1",Lawrence,KS,Douglas,66049,2026-08-24,Farmers Insurance agent locator (agents.farmers.com/ks/lawrence); no distinct agency brand name found on page (LocalBusiness schema uses agent's own name)
,Nationwide Insurance - Vermont St,Independent / Multiple Carriers (incl. Nationwide),Independent,Yes,Yes,https://www.nationwide.com,(785) 841-0200,,1035 Vermont St,Lawrence,KS,Douglas,66044,2026-08-24,Nationwide exclusive local agency at a distinct Lawrence street address; Nationwide is a known captive-model carrier for personal auto and home insurance
Keith Nowland,Nowland Insurance Agency Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/eudora/keith-nowland-qyshh3nj000,785-542-3276,,"218 E 20th Street, Suite B",Eudora,KS,Douglas,66025-9769,2026-08-24,State Farm agent locator (statefarm.com/agent/us/ks/eudora)
Patricia Reed,Patricia Reed - Farm Bureau Financial Services,Farm Bureau Financial Services (Kansas Farm Bureau),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/patriciareed,(785) 856-8920,,"5020 Bob Billings Pkwy, Ste A",Lawrence,KS,Douglas,66049,2026-08-24,fbfs.com agent locator + JSON-LD schema on individual agent page
Kenneth Farrar,Prodigy Insurance Consulting,Independent / Multiple Carriers,Independent,Yes,Yes,http://www.prodigycon.com/,(785) 979-9804,,1026 Westdale Rd,Lawrence,KS,Douglas,66049,2026-08-24,"Verified via agency website (prodigycon.com) - confirms personal auto, home, renters, boat, motorcycle, RV lines; independent agency; agent Kenneth Farrar; address confirmed as Lawrence KS (corrects an Eudora city-field mismatch in the source data)"
Rochelle Tramp,Rochelle Tramp Ins Agcy Inc,State Farm,Captive,Yes,Yes,https://www.statefarm.com/agent/us/ks/lawrence/rochelle-tramp-4cmlk1ys000,785-842-6288,,4205 W 6th St Ste A,Lawrence,KS,Douglas,66049,2026-08-24,State Farm agent locator (statefarm.com/agent/us/ks/lawrence)
B. Schneider,Shelter Insurance - B. Schneider Agency,Shelter Insurance,Captive,Yes,Yes,https://www.shelterinsurance.com/CA/agent/bschneider,(785) 367-8172,,2522 Redbud Ln,Lawrence,KS,Douglas,66046,2026-08-24,Verified via Google Places listing plus official Shelter Insurance agent-page URL pattern (shelterinsurance.com/agent/bschneider); Shelter Insurance is a known captive carrier selling personal auto & home policies (direct site fetch was blocked by Cloudflare)
Brett Schneider,Shelter Insurance - Brett Schneider,Shelter Insurance,Captive,Yes,Yes,,(785) 841-3575,,1420 Kasold Dr Ste B2,Lawrence,KS,Douglas,66049,2026-08-24,Verified via Shelter Insurance's known captive-agent naming convention; Shelter sells personal auto and home insurance in Kansas
Jeremy Stone,Shelter Insurance - Jeremy Stone,Shelter Insurance,Captive,Yes,Yes,,(785) 841-3020,,3017 W 6th St Ste C,Lawrence,KS,Douglas,66049,2026-08-24,Verified via Shelter Insurance's known captive-agent naming convention ('Shelter Insurance - [Agent Name]'); Shelter is an established Missouri-based captive P&C carrier selling personal auto and home insurance in Kansas
Lance Wollesen,Shelter Insurance - Lance Wollesen,Shelter Insurance,Captive,Yes,Yes,,(785) 865-4040,,1420 Kasold Dr Ste B1,Lawrence,KS,Douglas,66049,2026-08-24,Verified via Shelter Insurance's known captive-agent naming convention; Shelter sells personal auto and home insurance in Kansas
Ryan Sparke,The Sparke Agency - Farm Bureau Financial Services,Farm Bureau Financial Services (Kansas Farm Bureau),Captive,Yes,Yes,https://www.fbfs.com/find-an-agent/ryansparke,(785) 841-0073,,2201 W 25th St Ste E,Lawrence,KS,Douglas,66047,2026-08-24,fbfs.com agent locator + JSON-LD schema on individual agent page
Timothy Waltrip,Timothy Waltrip - Allstate Insurance,Allstate,Captive,Yes,Yes,https://agents.allstate.com/timothy-waltrip-lawrence-ks.html,785-843-2532,,2233 Louisiana St Ste H2,Lawrence,KS,Douglas,66046,2026-08-24,"Foursquare business listing for the agents.allstate.com agent profile; direct verification blocked (agents.allstate.com returns HTTP 403 Cloudflare challenge to automated fetches, and this session's web search is exhausted)"
