law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Craig L. Williams,,,,,TX,Hays,,,Real Estate,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Cristina Paula Beceiro,,,,,TX,Hays,,,Workers' Compensation,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
DJC Law,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Daniel M. Burns,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Decker Guerra PLLC,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Dedrah Dee Ginn,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Deidra Mills Rosenbaum,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Derek Chase DuBois,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Douglas Cooper Galloway,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Eggleston Law Firm, P.C.",https://lonestarlawfirm.com/,,,,TX,Hays,512-200-4529,help@lonestarlawfirm.com,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Elizabeth Anne Dorsey,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Elizabeth Joy J. Sparks,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Emerson Electric Co.,,,,,TX,Hays,512-832-3150,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Emily Elizabeth Grady,,,,,TX,Hays,281-368-7878,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Emma Susan Kypuros,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Eric James Smith,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Erin Schreiber Whitehead,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Fansu Ku,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Foy Lee Clark,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Freelance Attorney,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Glen Richard Imes,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Glenn Leishner, Attorney at Law",,,,,TX,Hays,832-570-6142,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Gloria M. Salinas,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Gregory Coleman de la Iglesia,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Heyl Group, LLC",,,,,TX,Hays,254-733-9458,,Real Estate,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Holly Gail Gonzalez,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
International Refugee Assistance Project,https://refugeerights.org/,,,,TX,Hays,,policy@refugeerights.org,Immigration,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Izzak Banda,,,,,TX,Hays,512-757-2949,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
James Brian Walker Shepherd,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
James David Robinett,,,,,TX,Hays,512-699-1455,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
James L. Baumoel,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
James Michael Bean,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jeffrey N. Coffee,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jennifer Carol Smith,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jennifer Oshea Shelley,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jennifer Vaughan,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jeremy Skylar Jackson,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jerri Hougland Coletti,,,,,TX,Hays,512-739-7660,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Jesse Wayne Moser,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jessica Faye Thorntoya,,,,,TX,Hays,,,Employment Law,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Jill Katherine Nance,https://www.nancelegal.com/,,,,TX,Hays,512-296-0661,jill@nancelegal.com,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
John Edward Hernandez,,,,,TX,Hays,,,Civil Litigation,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Jose E. Camacho,,,,,TX,Hays,512-751-0862,,Employment Law,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Joshua Martinez,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Karen Burdett Ray,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Karla Lambert Pearson,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Katherine R. Parisi,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Kayli Elizabeth Ragsdale,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Kelly Marie Shannahan,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Kevin Farrell Cassidy,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Kim Jones Baker,,,,,TX,Hays,,,Real Estate,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Kimberly M. Bertram,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Kirsta Melton,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Kirsten Brix Jacobvitz,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Knobbe, Martens, Olson & Bear, LLP",,,,,TX,Hays,415-217-8392,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Kody Aaron Banda,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Laura Grace Politi,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Lauren Standiford Galloway,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Law Offices of Sarah K. Brandon, P.C.",,,,,TX,Hays,512-477-2770,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Lee Ann Alexander,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Lehotsky Cohn LLP,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Leslie Melissa Walter,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Linda S. Freeman,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Lynda Hercules Charleson,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Madison Manoushagian Mondragon,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Maria C. Hull,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Maria Guadalupe Serrano Aguilar,,,,,TX,Hays,512-910-5311,,Immigration,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Maria Sergeyevna Hieb,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Mark Eric Holstein,,,,,TX,Hays,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Mark Janssen,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Mark Scott Baldwin,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Marla Hayes,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Marwan Elrakabawy,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Mary Yvonne Bunn,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Mary-Margaret Black,,,,,TX,Hays,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Matthew Anthony Tiffee,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Matthew Douglas Parr,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Matthew Ryan Maldonado,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"McGuffey Law, PLLC",https://mcguffey.law/,,,,TX,Hays,512-366-3763,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Megan Elizabeth Evans,,,,,TX,Hays,512-655-3997,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Merjan H. Kareem,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Michelle Lynn Farris,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Nathaniel Thomas Fulmer,,,,,TX,Hays,512-751-8961,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Nicholas Ryan Coker,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Nikita Anastasia Westberg,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Oscar Esteban Farias,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Patrick Ben McMillin,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Paul C. Velte,http://www.veltelaw.com/,,,,TX,Hays,512-353-2299,paul@veltelaw.com,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Paul Christopher Gray,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Rachel Maria Victoria,,,,,TX,Hays,,,Civil Litigation,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Raif Massey Calvert,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Ram Sidi,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Raul Edgardo Santiago Velez,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Rebekah A. Woodard,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Reichman Jorgensen,,,,,TX,Hays,,,Civil Litigation,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Renee Diane Foshee,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Richard F. Gutierrez,,,,,TX,Hays,830-774-5592,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Ricky J. Laielli,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Samuel Robertson,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Schrandt Law, PLLC",,,,,TX,Hays,,,Employment Law,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Seth Holland Bills,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Shar-Day Ebony Smith,,,,,TX,Hays,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Shelby Lynne Williams,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Siete Family Foods,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Skadden, Arps, Slate, Meagher & Flom LLP",,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Special Prosecution Unit,,,,,TX,Hays,936-291-2369,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Stacey Allison Steinbach,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Stephen Ronald Keister,,,,,TX,Hays,,,Personal Injury,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Sylvia Thomas McDaniel,,,,,TX,Hays,,,Employment Law,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
TJH Law,,,,,TX,Hays,,,Real Estate,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Tamara Harswick Holland,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Tammy C. Manning,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Texas Ponce Law, PLLC",https://www.texasponcelaw.com/,,,,TX,Hays,512-897-3111,info@texasponcelaw.com,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Docentus Group,,,,,TX,Hays,512-270-1911,,Employment Law,,,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
The Vanway Law Firm aka Ken Vanway Law,,,,,TX,Hays,,,Estate Planning,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
TheChuckMillerLawFirm@gmail.com,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Thompson Patent Law,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Timothy R. Labadie,,,,,TX,Hays,512-656-8327,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Ty Kulika Hiroshi Hamilton,,,,,TX,Hays,,,Criminal Defense,,,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
UL Solutions,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
United States Patent and Trademark Offic,,,,,TX,Hays,571-272-9472,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Vanessa Amber Ruiz,,,,,TX,Hays,,,Immigration,,,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Vanessa Vasquez,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Victoria M. Garza,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Victoria VanBuren,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Zachariah Alan Lockwood,,,,,TX,Hays,,,General,,,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Association of Certified Fraud Examiners,,,,Austin,TX,Hays,,,General,166 Hargraves Dr Ste C-400-537,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Bill R. Turner,,,,Austin,TX,Hays,,,Criminal Defense,Bill Turner 220 Longmont Lane,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Butler Injury Law,https://www.butlerinjury.com/,,,Austin,TX,Hays,512-956-9610,rian@butlerinjury.com,Personal Injury,13341 W US 290 Hwy Bldg 2,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"CJ Brandt, Attorney at Law",,,,Austin,TX,Hays,512-699-6909,,General,9516 San Diego Road,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Carolyn Jo Radabaugh,,,,Austin,TX,Hays,512-394-1622,,General,201 Secretariat Dr.,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Clint Bledsoe, Attorney",,,,Austin,TX,Hays,512-284-8488,,Real Estate,166 Hargraves Dr Ste C400 PMB 501,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"Darrell Minton, Attorney at Law, P.C.",,,,Austin,TX,Hays,409-466-2211,,Personal Injury,428 Big Brown Dr,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
David Coffey,,,,Austin,TX,Hays,512-781-8536,,General,13810 Fm 1826,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Dorothy Butler Law Firm,https://dorothybutlerlawfirm.com/,,,Austin,TX,Hays,737-329-4649,,Criminal Defense,166 Hargraves Drive C-400,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Erica Lynne Mirehouse,,,,Austin,TX,Hays,,,Estate Planning,13 Coach House Road,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Erika Peña Solhtalab,,,,Austin,TX,Hays,,,General,400 Old Stone Rd.,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
George Murphy Legal Services,https://georgemurphylegalservices.com/,,,Austin,TX,Hays,737-221-9007,,General,"13341 U. S. Highway 290, Building 2",78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Gregory Christopher Mathis,,,,Austin,TX,Hays,,,General,9506 San Lucas,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Hill Country Law,https://www.hillcountrylawpllc.com/,,,Austin,TX,Hays,512-220-9959,info@hillcountrylawpllc.com,Criminal Defense,166 Hargraves Dr Ste C400 PMB 444,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Industrial Valuation Services,,,,Austin,TX,Hays,512-858-2373,,General,14121 W US Highway 290 Ste 9,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
James Craig Smith,,,,Austin,TX,Hays,512-820-8696,,General,8900 N Madrone Trail,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Jester King Brewery,,,,Austin,TX,Hays,512-364-7278,,General,779 Wild Rose Drive,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Johns & Counsel PLLC,https://www.johnsandcounsel.com/,,,Austin,TX,Hays,512-399-3150,contact@johnsandcounsel.com,Civil Litigation,13341 W US 290 Hwy Bldg 2,78737,Austin,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of Ashley M. Peterson,https://www.ashleypetersonlaw.com/,,,Austin,TX,Hays,619-222-7301,amp@ashleypetersonlaw.com,Real Estate,150 Challis Ct,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of Connie L. Kondik,,,,Austin,TX,Hays,512-695-7309,,Employment Law,"14101 W. Hwy 290, Building 600",78737,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"Law Office of Darren McHugh, PLLC",,,,Austin,TX,Hays,512-574-4654,,General,13341 W US Hwy 290 Bldg 2,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Jason C. Spencer,https://atxconstructionlaw.com/,,,Austin,TX,Hays,512-799-0499,,General,15104 Crosscreek Drive,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Macdonald & Associates, PLLC",,,,Austin,TX,Hays,737-284-8450,,Estate Planning,13341 W US Highway 290 Bldg 2,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Margaret M. Menicucci,,,,Austin,TX,Hays,512-894-5426,,Estate Planning,14101 W US Highway 290 Ste 1100,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
MelTan Law,https://meltanlaw.com/,,,Austin,TX,Hays,443-498-3133,roxy@meltanlaw.com,Estate Planning,129 Sandpiper Cove,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Michael Douglas Stiernberg,,,,Austin,TX,Hays,512-300-8487,,General,13201 Cardinal Hill,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Michael G. Lockwood, Attorney",,,,Austin,TX,Hays,512-291-6659,,Estate Planning,22 Carriage House Lane,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Michael S. Simpson,,,,Austin,TX,Hays,512-626-8025,,Personal Injury,149 Wellesley Ct.,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Morehead Compliance Consulting LLC,,,,Austin,TX,Hays,512-961-3890,,Criminal Defense,11601 W US Highway 290 Ste A101 PMB 324,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Nathaniel Richard Stone,,,,Austin,TX,Hays,713-775-3391,,Civil Litigation,7402 Glenhaven Path,78737,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Patent Trial and Appeal Board,,,,Austin,TX,Hays,,,General,15104 Crosscreek,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Public Interest Strategies LLC,,,,Austin,TX,Hays,214-250-7277,,Real Estate,11601 W Highway 290 Ste A101 - Box 390,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Rendall Sikes PLLC,,,,Austin,TX,Hays,432-704-5450,,Real Estate,161 Katie Dr,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Roberts Markel Weinberg Butler Hailey,,,,Austin,TX,Hays,,,General,2699 Reunion Blvd.,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Scott Ronald Fithen,,,,Austin,TX,Hays,,,Real Estate,"13341 W US 290, BLDG 2",78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"SharpeVision, PLLC",,,,Austin,TX,Hays,206-954-2020,,General,8310 Arboles Circle,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Stroud Mediation,http://www.stroudmediation.com/,,,Austin,TX,Hays,512-391-1983,,General,"14101 Highway 290 West, Bld 100, Ste 202",78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Susan M. Lefevre,,,,Austin,TX,Hays,512-301-2112,,General,13073 Fieldstone Loop,78737,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Teresita Maria Rodriguez,,,,Austin,TX,Hays,,,Immigration,166 Hargraves Dr Ste C400 PMB 142,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
The Klotz Law Firm,,,,Austin,TX,Hays,512-514-1148,,Estate Planning,10120 Clemente Cir,78737,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
The Law Office of Diana E. Buss,https://bussted.com/,,,Austin,TX,Hays,512-626-6117,diana@bussted.com,Criminal Defense,13341 W US 290 Hwy Bldg 2 PMB 107,78737,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Chrystina Sumpter, Attorney at Law",,,,Buda,TX,Hays,512-280-7332,,Employment Law,PO Box 1156,78610,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Edward A. Conners,,,,Buda,TX,Hays,512-626-7469,,Employment Law,13 Country Oaks Dr,78610,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Erika Solar-Lezama,,,,Buda,TX,Hays,,,General,181 Cimarron Park Loop Ste C,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Faryal Memon Motiwala,,,,Buda,TX,Hays,,,Personal Injury,16191 Oak grove Rd,78610,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"Huckaby Hicks, PLLC",https://www.huckabyhicks.com/,,,Buda,TX,Hays,512-580-4795,,Estate Planning,125 Rose St Ste 102,78610,Austin,2,4,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Joan Patricia Peterson,,,,Buda,TX,Hays,512-400-2350,,General,1760 Fm 967 Ste A,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Justin Potter,,,,Buda,TX,Hays,,,General,296 Dragon Ridge Rd,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
