law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Pottroff & Karlin, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26392,Manhattan,KS,Riley,(785) 539-4656,,General,320 Sunset Ave,66502,Manhattan,2,
Weary Davis LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17146,Manhattan,KS,Riley,(785) 539-2208,,General,555 Poyntz Ave Ste 240,66502,Manhattan,2,
"Hiebert Law Office, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30769,Manhattan,KS,Riley,(785) 340-3029,,General,"1960 Kimball Ave, Ste 170",66502,Manhattan,2,
Mark A. Marion,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19363,Manhattan,KS,Riley,(785) 250-6569,,General,1406 Houston St,66502,Manhattan,2,
Charlson & Wilson,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18349,Manhattan,KS,Riley,(785) 537-2900,,General,111 N 4th St,66502,Manhattan,2,
Kristine A. Polansky,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13752,Manhattan,KS,Riley,(785) 537-0440,,General,1925 Bluestem Ter,66502,Manhattan,2,
MHK Dispute Resolution Services LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25447,Manhattan,KS,Riley,(785) 992-4123,,General,PO Box 1192,66502,Manhattan,2,
"Schartz and Olsen Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=20265,Manhattan,KS,Riley,(785) 776-9208,,General,323 Poyntz Ave Ste 204,66502,Manhattan,2,
"Seaton Law Offices, LLP",,,https://directory-kard.kscourts.gov/Home/Details?regNum=5994,Manhattan,KS,Riley,(785) 776-4788,,General,410 Humboldt,66502,Manhattan,2,
"Knopp, Biggs, & Renz PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=11760,Manhattan,KS,Riley,(785) 776-9288,,General,620 Humboldt,66502,Manhattan,2,
Riley County Courthouse,,,https://directory-kard.kscourts.gov/Home/Details?regNum=11046,Manhattan,KS,Riley,(785) 537-6371,,General,100 Courthouse Plaza,66502,Manhattan,2,
Shellenberger & Associates PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17184,Manhattan,KS,Riley,(620) 629-7514,,General,1310 Westloop Pl Ste A-307,66502,Manhattan,2,
West Ashland Farm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15018,Manhattan,KS,Riley,(785) 556-1556,,General,3881 S 20th St,66502,Manhattan,2,
"Karen E. Ice, Attorney",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26723,Manhattan,KS,Riley,(785) 770-6075,,General,P.O. Box 850,66505,Manhattan,2,
Manhattan Municipal Ct,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18044,Manhattan,KS,Riley,(785) 587-2450,,General,610 Colorado St,66502,Manhattan,2,
Riley Co Attorney's Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18190,Manhattan,KS,Riley,(785) 537-6390,,General,105 Courthouse Plaza,66502,Manhattan,2,
Kansas State Univ - Office Of Gen Counsel,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25085,Manhattan,KS,Riley,(785) 532-5730,,General,919 Mid-Campus Dr N,66506,Manhattan,2,
Kansas Farm Bureau,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18198,Manhattan,KS,Riley,(785) 587-6262,,General,2627 KFB Plaza,66503,Manhattan,2,
The Law Office of Michael C. Gillespie,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13693,Manhattan,KS,Riley,(785) 532-9241,,General,PO Box 1903,66505,Manhattan,2,
"Caffey Johnson & Ingels, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=22702,Manhattan,KS,Riley,(785) 776-1000,,General,"315 Houston, Ste C",66502,Manhattan,2,
Irvine Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16206,Manhattan,KS,Riley,(785) 776-9212,,General,323 Poyntz Ave Ste 202,66502-6387,Manhattan,2,
"Oleen Law Firm, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=22807,Manhattan,KS,Riley,(785) 537-9194,,General,1619 Poyntz Ave,66502,Manhattan,2,
Porter Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19866,Manhattan,KS,Riley,(785) 341-1565,,General,3708 Crossgate Cir,66503,Manhattan,2,
"Foote Business Services, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=28420,Manhattan,KS,Riley,(785) 200-4064,,General,2401 N Seth Child Rd,66503,Manhattan,2,
"Shivley Law Firm, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=22400,Manhattan,KS,Riley,(785) 537-8415,,General,427A Poyntz Ave,66502,Manhattan,2,
"Kansas Legal Services, Inc.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30572,Manhattan,KS,Riley,(785) 537-2943,,General,"409 Poyntz Ave, Ste 201",66502,Manhattan,2,
"Michael P. Hinkin, Attorney-At Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=25564,Manhattan,KS,Riley,(785) 410-0507,,General,"923 Westport Pl, Ste 130, Box 6",66502,Manhattan,2,
Keating and Associates,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24653,Manhattan,KS,Riley,(785) 564-2785,,General,1011 Poyntz Ave,66502,Manhattan,2,
Stremel & Kuhn Law Offices Chartered,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13369,Manhattan,KS,Riley,(785) 537-1700,,General,529 Humboldt St #A,66502,Manhattan,2,
Flint Hills Home Team Real Estate,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19219,Manhattan,KS,Riley,(785) 537-9727,,General,2103 Zeandale Rd,66502,Manhattan,2,
Senior District Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8473,Manhattan,KS,Riley,(785) 313-0697,,General,3112 Bethany Cir,66503,Manhattan,2,
Colt Knutson,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8280,Manhattan,KS,Riley,(785) 532-8355,,General,2000 Beck,66502,Manhattan,2,
"Frederick J. Works, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=11435,Manhattan,KS,Riley,(620) 433-5533,,General,1513 Ranch View Cir,66502,Manhattan,2,
