law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,source,date_pulled
Amelia Brown,,,https://lawyers.justia.com/lawyer/amelia-brown-1664543,Lawrence,KS,Douglas,(888) 702-0220,,Bankruptcy,840 Connecticut,66044,Lawrence,4,,KS Courts Registry,2026-08-17
Erika Bessey,,,https://lawyers.justia.com/lawyer/erika-bessey-1491138,Lawrence,KS,Douglas,(785) 554-2421,,Estate Planning,729 1/2 Massachusetts,66044,Lawrence,4,,KS Courts Registry,2026-08-17
Carey P. Berger,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 843-4447,,General,4000 W 6th St Ste B244,66049-3204,Lawrence,2,,KS Courts Registry,2026-08-17
Thomas J Connors,https://www.tituslawkc.com/,,https://lawyers.justia.com/lawyer/thomas-j-connors-1665556,Lawrence,KS,Douglas,(785) 328-4210,,Divorce,4106 W. 6th Street,66049,Lawrence,5,3,KS Courts Registry,2026-08-17
Brenda Bell,,,https://lawyers.justia.com/lawyer/brenda-bell-1662766,Lawrence,KS,Douglas,(785) 539-1300,,General,335 Headwaters Drive,66049,Lawrence,2,,KS Courts Registry,2026-08-17
John Robert Hooge,,,https://lawyers.justia.com/lawyer/john-robert-hooge-1495138,Lawrence,KS,Douglas,(785) 842-1138,,Bankruptcy,2619 W. 6th Ste D,66049,Lawrence,4,,KS Courts Registry,2026-08-17
Erin Kennedy,,,https://lawyers.justia.com/lawyer/erin-kennedy-917228,Lawrence,KS,Douglas,(785) 218-3019,,General,16 East 13th Street,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Uma Outka,https://law.ku.edu/people/uma-outka,,,Lawrence,KS,Douglas,(785) 864-9241,admitlaw@ku.edu,Criminal Defense,1535 W 15th St,66045,Lawrence,5,4,KS Courts Registry; email via firm website scrape,2026-08-17
"Roberts, Bethany J, ATTY",http://barberemerson.com,,https://www.yellowpages.com/lawrence-ks/attorneys,Lawrence,KS,Douglas,(785) 843-6600,,Personal Injury,1211 Massachusetts St,,Kansas City,5,,KS Courts Registry,2026-08-17
Michael H. Hoeflich,https://law.ku.edu/people/michael-hoeflich,,,Lawrence,KS,Douglas,(913) 864-4550,admitlaw@ku.edu,Criminal Defense,1535 W 15th St,66045,Lawrence,5,2,KS Courts Registry; email via firm website scrape,2026-08-17
Alexander I. Platt,https://law.ku.edu/people/alexander-platt,,,Lawrence,KS,Douglas,(785) 864-0509,admitlaw@ku.edu,Criminal Defense,1535 W. 15th Street,66045,Lawrence,5,3,KS Courts Registry; email via firm website scrape,2026-08-17
Stephen McAllister,https://law.ku.edu/people/stephen-mcallister,,https://lawyers.justia.com/lawyer/stephen-mcallister-922634,Lawrence,KS,Douglas,(785) 864-9236,admitlaw@ku.edu,Criminal Defense,1535 W. 15th Street,66045,Lawrence,5,4,KS Courts Registry; email via firm website scrape,2026-08-17
Najarian R. Peters,https://law.ku.edu/people/najarian-peters,,https://lawyers.justia.com/lawyer/najarian-r-peters-1820897,Lawrence,KS,Douglas,(785) 864-0498,admitlaw@ku.edu,Personal Injury,1535 West 15th Street,66045,Lawrence,5,2,KS Courts Registry; email via firm website scrape,2026-08-17
Gail Agrawal,,,https://lawyers.justia.com/lawyer/gail-agrawal-918176,Lawrence,KS,Douglas,(785) 864-4531,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
William Joseph Skepnek Jr.,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 841-0211,,General,111 E 11 Th St,66044-2909,Lawrence,2,,KS Courts Registry,2026-08-17
Vera Korzun,https://law.ku.edu/people/vera-korzun,,,Lawrence,KS,Douglas,(785) 864-3310,admitlaw@ku.edu,Criminal Defense,1535 W 15th St,66045,Lawrence,5,4,KS Courts Registry; email via firm website scrape,2026-08-17
Blake C. Glover,,,https://lawyers.justia.com/lawyer/blake-c-glover-318090,LAWRENCE,KS,Douglas,(785) 330-2817,,Estate Planning,111 E. 11TH ST,66044,Lawrence,4,,KS Courts Registry,2026-08-17
Andrew W. Torrance,https://law.ku.edu/people/andrew-torrance,,https://lawyers.justia.com/lawyer/andrew-w-torrance-1820918,Lawrence,KS,Douglas,(785) 864-9222,admitlaw@ku.edu,Criminal Defense,1535 West 15th Street,66045,Lawrence,5,3,KS Courts Registry; email via firm website scrape,2026-08-17
Christopher James Anderson,,,https://lawyers.justia.com/lawyer/christopher-james-anderson-59802,Lawrence,KS,Douglas,(785) 295-6275,,General,1108 Waverly Dr,66049,Lawrence,2,,KS Courts Registry,2026-08-17
Milton Wesley Wendland,,,https://lawyers.justia.com/lawyer/milton-wesley-wendland-1272829,Lawrence,KS,Douglas,(785) 766-4473,,General,334 Illinois St,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Barbara Kay Huff,,,https://lawyers.justia.com/lawyer/barbara-kay-huff-1169913,LAWRENCE,KS,Douglas,(785) 832-5356,,General,111 E 11TH ST,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Matthew H. Hoy,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 843-0811,,General,900 Massachusetts St Ste 500,66044-2868,Lawrence,2,,KS Courts Registry,2026-08-17
Leslie Mcdial Miller,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 843-0811,,General,900 Massachusetts St Ste 500,66044-6001,Lawrence,2,,KS Courts Registry,2026-08-17
Meredith Seymour Lang,,,https://lawyers.justia.com/lawyer/meredith-seymour-lang-186707,Lawrence,KS,Douglas,(785) 842-4925,,General,810 Avalon Rd,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Carolyn Simpson,,,https://lawyers.justia.com/lawyer/carolyn-simpson-918107,Lawrence,KS,Douglas,(785) 979-4353,,Estate Planning,3514 W Clinton Pkwy,66047,Lawrence,4,,KS Courts Registry,2026-08-17
Samuel John Natale,,,https://lawyers.justia.com/lawyer/samuel-john-natale-1638835,LAWRENCE,KS,Douglas,(785) 285-9606,,General,2518 RIDGE CT,66046,Lawrence,2,,KS Courts Registry,2026-08-17
Richard W. Lungstrum,,,https://lawyers.justia.com/lawyer/richard-w-lungstrum-1008326,LAWRENCE,KS,Douglas,(785) 760-5447,,General,"719 MASSACHUSETTS,PO BOX 476",66044,Lawrence,2,,KS Courts Registry,2026-08-17
Craig Albert Hundley,,,https://lawyers.justia.com/lawyer/craig-albert-hundley-53836,Lawrence,KS,Douglas,(785) 842-1718,,Bankruptcy,1380 Stonecreek Dr,66049,Lawrence,4,,KS Courts Registry,2026-08-17
"Schneider, Ronald",http://schneiderronald.localsearch.com,,https://www.yellowpages.com/lawrence-ks/attorneys,Lawrence,KS,Douglas,(785) 841-2040,,Social Security Disability,900 Massachusetts St,,Kansas City,2,,KS Courts Registry,2026-08-17
Ellen Sward,,,https://lawyers.justia.com/lawyer/ellen-sward-575905,Lawrence,KS,Douglas,(785) 864-9238,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
Peter Curran,,,https://lawyers.justia.com/lawyer/peter-curran-917418,Lawrence,KS,Douglas,(785) 843-0811,,Estate Planning,900 Massachusetts St,66044,Lawrence,4,,KS Courts Registry,2026-08-17
Brian Johnson,,,https://lawyers.justia.com/lawyer/brian-johnson-924041,Lawrence,KS,Douglas,(785) 841-8282,,Personal Injury,1425 Oread W St,66049,Lawrence,5,,KS Courts Registry,2026-08-17
Aaron Mansfield,,,https://lawyers.justia.com/lawyer/aaron-mansfield-923933,Lawrence,KS,Douglas,(785) 550-7541,,General,2231 Tennessee St,66046,Lawrence,2,,KS Courts Registry,2026-08-17
Arthur Anderson,,,https://lawyers.justia.com/lawyer/arthur-anderson-920638,Lawrence,KS,Douglas,(785) 842-2756,,Estate Planning,1040 New Hampshire St,66044,Lawrence,4,,KS Courts Registry,2026-08-17
Michael Davis,,,https://lawyers.justia.com/lawyer/michael-davis-917738,Lawrence,KS,Douglas,(785) 864-9244,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
Charles Schimmel,,,https://lawyers.justia.com/lawyer/charles-schimmel-920063,Lawrence,KS,Douglas,(785) 865-1558,,General,1101 Massachusetts St,66044,Lawrence,2,,KS Courts Registry,2026-08-17
George Catt,,,https://lawyers.justia.com/lawyer/george-catt-921288,Lawrence,KS,Douglas,(785) 841-3384,,Estate Planning,3300 Mesa Way,66049,Lawrence,4,,KS Courts Registry,2026-08-17
Deanell Tacha,,,https://lawyers.justia.com/lawyer/deanell-tacha-918434,Lawrence,KS,Douglas,(785) 842-8556,,General,643 Massachusetts St,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Micheal Don Noah,,,https://lawyers.justia.com/lawyer/micheal-don-noah-823144,LAWRENCE,KS,Douglas,(785) 592-0479,,General,1501 GEORGE WILLIAMS WAY,66049,Lawrence,2,,KS Courts Registry,2026-08-17
Stanley Daryl Davis,,,https://lawyers.justia.com/lawyer/stanley-daryl-davis-1131555,LAWRENCE,KS,Douglas,(785) 550-9652,,Personal Injury,700 MASSACHUSETTS ST,66044,Lawrence,5,,KS Courts Registry,2026-08-17
Lauren Reinhold,,,https://lawyers.justia.com/lawyer/lauren-reinhold-922679,Lawrence,KS,Douglas,(785) 842-3222,,General,1046 New Hampshire St,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Amy Seymour,,,https://lawyers.justia.com/lawyer/amy-seymour-918577,Lawrence,KS,Douglas,(785) 295-7637,,Estate Planning,529 Brentwood Dr,66049,Lawrence,4,,KS Courts Registry,2026-08-17
Joseph Custer,,,https://lawyers.justia.com/lawyer/joseph-custer-921720,Lawrence,KS,Douglas,(785) 864-9262,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
Fred Lovitch,,,https://lawyers.justia.com/lawyer/fred-lovitch-922794,Lawrence,KS,Douglas,(785) 864-4550,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
Kevin Kelly,,,https://lawyers.justia.com/lawyer/kevin-kelly-922013,Lawrence,KS,Douglas,(785) 864-9281,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
Jeffrey Davis,,,https://lawyers.justia.com/lawyer/jeffrey-davis-917730,Lawrence,KS,Douglas,(785) 832-7323,,General,2554 Arkansas St,66046,Lawrence,2,,KS Courts Registry,2026-08-17
Richard Wahl,,,https://lawyers.justia.com/lawyer/richard-wahl-918443,Lawrence,KS,Douglas,(785) 243-3841,,General,3422 Morning Dove Cir,66049,Lawrence,2,,KS Courts Registry,2026-08-17
Kermit Beal,,,https://lawyers.justia.com/lawyer/kermit-beal-916827,Lawrence,KS,Douglas,(785) 843-8241,,General,3311 Clinton Pkwy Ct,66047,Lawrence,2,,KS Courts Registry,2026-08-17
Fred Six,,,https://lawyers.justia.com/lawyer/fred-six-919795,Lawrence,KS,Douglas,(785) 843-8445,,General,1180 E 1400 Rd,66046,Lawrence,2,,KS Courts Registry,2026-08-17
Robert Tabor,,,https://lawyers.justia.com/lawyer/robert-tabor-919517,Lawrence,KS,Douglas,(785) 841-0333,,General,2001 Haskell Ave,66046,Lawrence,2,,KS Courts Registry,2026-08-17
Jody Meyer,,,https://lawyers.justia.com/lawyer/jody-meyer-923083,Lawrence,KS,Douglas,(785) 864-5564,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
Wendy A. L. Newell,https://www.newelllaw.com,,https://lawyers.justia.com/lawyer/wendy-a-l-newell-736380,Lawrence,KS,Douglas,(785) 838-4100,attorneynewell@padogattacklawyer.com,Personal Injury,512 E 9th St,66044,Lawrence,5,34,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
Molly Mead Wood,,,https://www.avvo.com/all-lawyers/ks/lawrence.html,Lawrence,KS,Douglas,(785) 843-0811,,General,Po Box 189900 Massachusetts Ste 500,66044-0189,Lawrence,2,,KS Courts Registry,2026-08-17
Stephen Garlow,,,https://lawyers.justia.com/lawyer/stephen-garlow-920593,Lawrence,KS,Douglas,(785) 331-3444,,General,2116 Delaware St,66046,Lawrence,2,,KS Courts Registry,2026-08-17
Harold Herman,,,https://lawyers.justia.com/lawyer/harold-herman-768697,Lawrence,KS,Douglas,(785) 368-6182,,General,4213 Crofton Ct,66049,Lawrence,2,,KS Courts Registry,2026-08-17
Daniel Gibb,,,https://lawyers.justia.com/lawyer/daniel-gibb-918231,Lawrence,KS,Douglas,(785) 856-8853,,General,220 Campbell Dr,66049,Lawrence,2,,KS Courts Registry,2026-08-17
Shannon Oury,,,https://lawyers.justia.com/lawyer/shannon-oury-916139,Lawrence,KS,Douglas,(785) 843-0811,,General,900 Massachusetts St,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Marcilyn Martinez,,,https://lawyers.justia.com/lawyer/marcilyn-martinez-916344,Lawrence,KS,Douglas,(785) 832-5315,,General,111 E 11th St,66044,Lawrence,2,,KS Courts Registry,2026-08-17
Jan Bowen Sheldon,,,https://lawyers.justia.com/lawyer/jan-bowen-sheldon-916598,Lawrence,KS,Douglas,(785) 864-4840,,General,1535 W 15th St,66045,Lawrence,2,,KS Courts Registry,2026-08-17
